name,type,hp,card_type,sub_type,evolves_from,attacks,ex_rule,weaknesses,retreat_cost,artist,card_description,id,rarity,pack,set,version,image,ability
Rapidash,Fire,100,Pokémon,Stage 1,Ponyta,"Rising Lunge attack points:40+ attack energy:RC attack description: Flip a coin. If heads, this attack does 60 more damage.",No,Water,1,AKIRA EGAWA,"This Pokémon can be seen galloping through fields at speeds of up to 150 mph, its fiery mane fluttering in the wind.",11,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #11 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_011_EN.webp,
Magmar,Fire,80,Pokémon,Basic,,Fire Blast attack points:80 attack energy:RR attack description: Discard 2 [R] Energy from this Pokémon.,No,Water,2,sui,Magmar dispatches its prey with fire. But it regrets this habit once it realizes that it has burned its intended prey to a charred crisp.,12,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #12 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_012_EN.webp,
Larvesta,Fire,80,Pokémon,Basic,,Combustion attack points:30 attack energy:RC attack description: ,No,Water,2,kawayoo,This Pokémon was called the Larva That Stole the Sun. The fire Larvesta spouts from its horns can cut right through a sheet of iron.,13,◊,Mew pack,Mythical Island (A1a),Mythical Island #13 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_013_EN.webp,
Volcarona,Fire,120,Pokémon,Stage 1,Larvesta,Volcanic Ash attack points: attack energy:RRC attack description: Discard 2 [R] Energy from this Pokémon. This attack does 80 damage to 1 of your opponent's Pokémon.,No,Water,2,DOM,"Its burning body causes it to be unpopular in hot parts of the world, but in cold ones, Volcarona is revered as an embodiment of the sun.",14,◊◊◊,Mew pack,Mythical Island (A1a),Mythical Island #14 ◊◊◊ Promo-A #28,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_014_EN.webp,
Salandit,Fire,60,Pokémon,Basic,,"Venoshock attack points:10+ attack energy:C attack description: If your opponent's Active Pokémon is Poisoned, this attack does 40 more damage.",No,Water,1,Naoki Saito,"It taunts its prey and lures them into narrow, rocky areas where it then sprays them with toxic gas to make them dizzy and take them down.",15,◊,Mew pack,Mythical Island (A1a),Mythical Island #15 ◊ Mythical Island #71 ☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_015_EN.webp,
Salazzle,Fire,80,Pokémon,Stage 1,Salandit,Poison Claws attack points:30 attack energy:R attack description: Your opponent's Active Pokémon is now Poisoned.,No,Water,1,Mitsuhiro Arita,"Salazzle makes its opponents light-headed with poisonous gas, then captivates them with alluring movements to turn them into loyal servants.",16,◊,Mew pack,Mythical Island (A1a),Mythical Island #16 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_016_EN.webp,
Magikarp,Water,30,Pokémon,Basic,,Leap Out attack points: attack energy:W attack description: Switch this Pokémon with 1 of your Benched Pokémon.,No,Lightning,1,Mitsuhiro Arita,"An underpowered, pathetic Pokémon. It may jump high on rare occasions but never more than seven feet.",17,◊,Mew pack,Mythical Island (A1a),Mythical Island #17 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_017_EN.webp,
Gyarados ex,Water,180,Pokémon,Stage 1,Magikarp,Rampaging Whirlpool attack points:140 attack energy:WWWC attack description: Discard a random Energy from among the Energy attached to all Pokémon (both yours and your opponent's).,No,Lightning,3,PLANETA CG Works,,18,◊◊◊◊,Mew pack,Mythical Island (A1a),Mythical Island #18 ◊◊◊◊ Mythical Island #76 ☆☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_018_EN.webp,
Vaporeon,Water,120,Pokémon,Stage,1     Eevee,Wave Splash attack points:60 attack energy:WCC attack description: ,No,Lightning,2,LINNE,"It lives close to water. Its long tail is ridged with a fin, which is often mistaken for a mermaid’s.",19,◊◊◊,Mew pack,Mythical Island (A1a),Mythical Island #19 ◊◊◊ Mythical Island #72 ☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_019_EN.webp,"Wash Out As often as you like during your turn, you may move a [W] Energy from 1 of your Benched [W] Pokémon to your Active [W] Pokémon."
Finneon,Water,60,Pokémon,Basic,,Water Gun attack points:20 attack energy:W attack description: ,No,Lightning,1,sui,The line running down its side can store sunlight. It shines vividly at night.,20,◊,Mew pack,Mythical Island (A1a),Mythical Island #20 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_020_EN.webp,
Lumineon,Water,80,Pokémon,Stage 1,Finneon,Aqua Liner attack points: attack energy:WW attack description: This attack does 50 damage to 1 of your opponent's Benched Pokémon.,No,Lightning,0,Sekio,"With its shining light, it lures its prey close. However, the light also happens to attract ferocious fish Pokémon—its natural predators.",21,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #21 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_021_EN.webp,
Chewtle,Water,80,Pokémon,Basic,,Bite attack points:30 attack energy:WC attack description: ,No,Lightning,2,Taiga Kayama,"Its large front tooth is still growing in. When the tooth itches, this Pokémon will bite another Chewtle’s horn, and the two Pokémon will tussle.",22,◊,Mew pack,Mythical Island (A1a),Mythical Island #22 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_022_EN.webp,
Drednaw,Water,130,Pokémon,Stage 1,Chewtle,"Crunch attack points:70 attack energy:WWW attack description: Flip a coin. If heads, discard a random Energy from your opponent's Active Pokémon.",No,Lightning,3,nisimono,"Its massive, jagged teeth can crush a boulder in a single bite. This Pokémon has an extremely vicious disposition.",23,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #23 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_023_EN.webp,
Cramorant,Water,80,Pokémon,Basic,,"Dive attack points:60 attack energy:WWC attack description: Flip a coin. If heads, during your opponent's next turn, prevent all damage from—and effects of—attacks done to this Pokémon.",No,Lightning,1,Jerky,"It’s so strong that it can knock out some opponents in a single hit, but it also may forget what it’s battling midfight.",24,◊,Mew pack,Mythical Island (A1a),Mythical Island #24 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_024_EN.webp,
Pikachu,Lightning,60,Pokémon,Basic,,Circle Circuit attack points:10x attack energy:L attack description: This attack does 10 damage for each of your Benched [L] Pokémon.,No,Fighting,1,Naoyo Kimura,"When it is angered, it immediately discharges the energy stored in the pouches in its cheeks.",25,◊,Mew pack,Mythical Island (A1a),Mythical Island #25 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_025_EN.webp,
Raichu,Lightning,120,Pokémon,Stage 1,Pikachu,Gigashock attack points:60 attack energy:LLL attack description: This attack also does 20 damage to each of your opponent's Benched Pokémon.,No,Fighting,2,hncl,"Its tail discharges electricity into the ground, protecting it from getting shocked.",26,◊◊◊,Mew pack,Mythical Island (A1a),Mythical Island #26 ◊◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_026_EN.webp,
Electabuzz,Lightning,70,Pokémon,Basic,,Thunder Spear attack points: attack energy:LL attack description: This attack does 40 damage to 1 of your opponent's Pokémon.,No,Fighting,1,Naoyo Kimura,Many power plants keep Ground-type Pokémon around as a defense against Electabuzz that come seeking electricity.,27,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #27 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_027_EN.webp,
Joltik,Lightning,40,Pokémon,Basic,,Bug Bite attack points:30 attack energy:L attack description: ,No,Fighting,1,MINAMINAMI Take,Joltik can be found clinging to other Pokémon. It’s soaking up static electricity because it can’t produce a charge on its own.,28,◊,Mew pack,Mythical Island (A1a),Mythical Island #28 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_028_EN.webp,
Galvantula,Lightning,80,Pokémon,Stage 1,Joltik,"Electroweb attack points:70 attack energy:LL attack description: During your opponent's next turn, the Defending Pokémon can't retreat.",No,Fighting,1,Mitsuhiro Arita,It launches electrified fur from its abdomen as its means of attack. Opponents hit by the fur could be in for three full days and nights of paralysis.,29,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #29 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_029_EN.webp,
Dedenne,Lightning,60,Pokémon,Basic,,"Thunder Shock attack points:10 attack energy:L attack description: Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed.",No,Fighting,1,Taiga Kayama,"It’s small and its electricity-generating organ is not fully developed, so it uses its tail to absorb electricity from people’s homes and charge itself.",30,◊,Mew pack,Mythical Island (A1a),Mythical Island #30 ◊ Mythical Island #73 ☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_030_EN.webp,
Mew,Psychic,60,Pokémon,Basic,,Psy Report attack points:20 attack energy:P attack description: Your opponent reveals their hand.,No,Darkness,1,Saya Tsuruta,"Because it can use all kinds of moves, many scientists believe Mew to be the ancestor of Pokémon.",31,◊◊◊,Mew pack,Mythical Island (A1a),Genetic Apex #283 ☆☆☆ Mythical Island #31 ◊◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_031_EN.webp,
Mew ex,Psychic,130,Pokémon,Basic,,Psyshot attack points:20 attack energy:P attack description: ,Yes,Darkness,1,PLANETA CG Works,,32,◊◊◊◊,Mew pack,Mythical Island (A1a),Mythical Island #32 ◊◊◊◊ Mythical Island #77 ☆☆ Mythical Island #83 ☆☆ Mythical Island #86 Crown Rare,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_032_EN.webp,
Sigilyph,Psychic,80,Pokémon,Basic,,Spike Draw attack points:10 attack energy:P attack description: Draw a card.,No,Darkness,1,Shigenori Negishi,Psychic power allows these Pokémon to fly. Some say they were the guardians of an ancient city. Others say they were the guardians’ emissaries.,33,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #33 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_033_EN.webp,
Elgyem,Psychic,60,Pokémon,Basic,,Headbutt attack points:20 attack energy:P attack description: ,No,Darkness,1,Kouki Saitou,"If this Pokémon stands near a TV, strange scenery will appear on the screen. That scenery is said to be from its home.",34,◊,Mew pack,Mythical Island (A1a),Mythical Island #34 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_034_EN.webp,
Beheeyem,Psychic,90,Pokémon,Stage 1,Elgyem,Mind Jack attack points:10+ attack energy:P attack description: This attack does 20 more damage for each of your opponent's Benched Pokémon.,No,Darkness,1,sowsow,"Whenever a Beheeyem visits a farm, a Dubwool mysteriously disappears.",35,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #35 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_035_EN.webp,
Flabébé,Psychic,40,Pokémon,Basic,,Hypnotic Gaze attack points: attack energy:P attack description: Your opponent's Active Pokémon is now Asleep.,No,Metal,1,Cona Nitanda,This Pokémon can draw forth the power hidden within blooming wild flowers. It is particularly fond of red flowers.,36,◊,Mew pack,Mythical Island (A1a),Mythical Island #36 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_036_EN.webp,
Floette,Psychic,70,Pokémon,Stage 1,Flabébé,Leaf Drain attack points:40 attack energy:P attack description: Heal 10 damage from this Pokémon.,No,Metal,1,Cona Nitanda,This Pokémon draws forth what power is left in withered flowers to make them healthy again. It holds a red flower.,37,◊,Mew pack,Mythical Island (A1a),Mythical Island #37 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_037_EN.webp,
Florges,Psychic,120,Pokémon,Stage 2,Floette,Bloomshine attack points:80 attack energy:PP attack description: Heal 20 damage from each of your Pokémon.,No,Metal,1,Cona Nitanda,This Pokémon creates an impressive flower garden in its territory. It draws forth the power of the red flowers around its neck.,38,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #38 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_038_EN.webp,
Swirlix,Psychic,60,Pokémon,Basic,,Fairy Wind attack points:20 attack energy:P attack description: ,No,Metal,1,5ban Graphics,"It eats its own weight in sugar every day. If it doesn’t get enough sugar, it becomes incredibly grumpy.",39,◊,Mew pack,Mythical Island (A1a),Mythical Island #39 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_039_EN.webp,
Slurpuff,Psychic,100,Pokémon,Stage 1,Swirlix,Magical Shot attack points:60 attack energy:PC attack description: ,No,Metal,2,Kagemaru Himeno,"By taking in a person’s scent, it can sniff out their mental and physical condition. It’s hoped that this skill will have many medical applications.",40,◊,Mew pack,Mythical Island (A1a),Mythical Island #40 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_040_EN.webp,
Mankey,Fighting,50,Pokémon,Basic,,"Focus Fist attack points:50 attack energy:F attack description: Flip a coin. If tails, this attack does nothing.",No,Psychic,1,Akira Komayama,"It lives in groups in the treetops. If it loses sight of its group, it becomes infuriated by its loneliness.",41,◊,Mew pack,Mythical Island (A1a),Mythical Island #41 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_041_EN.webp,
Primeape,Fighting,80,Pokémon,Stage 1,Mankey,Punch attack points:50 attack energy:F attack description: ,No,Psychic,1,Taiga Kayama,It becomes wildly furious if it even senses someone looking at it. It chases anyone that meets its glare.,42,◊,Mew pack,Mythical Island (A1a),Mythical Island #42 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_042_EN.webp,
Geodude,Fighting,70,Pokémon,Basic,,Light Punch attack points:30 attack energy:FC attack description: ,No,Grass,2,GOSSAN,"Geodude that have lived a long life have had all their edges smoothed out until they’re totally round. They also have a calm, quiet disposition.",43,◊,Mew pack,Mythical Island (A1a),Mythical Island #43 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_043_EN.webp,
Graveler,Fighting,100,Pokémon,Stage 1,Geodude,Lunge Out attack points:40 attack energy:FC attack description: ,No,Grass,3,Ayaka Yoshida,"It climbs up cliffs as it heads toward the peak of a mountain. As soon as it reaches the summit, it rolls back down the way it came.",44,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #44 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_044_EN.webp,
Golem,Fighting,160,Pokémon,Stage 2,Graveler,"Guard Press attack points:120 attack energy:FFFC attack description: During your opponent's next turn, this Pokémon takes −30 damage from attacks.",No,Grass,3,Masakazu Fukuda,"When Golem grow old, they stop shedding their shells. Those that have lived a long, long time have shells green with moss.",45,◊◊◊,Mew pack,Mythical Island (A1a),Mythical Island #45 ◊◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_045_EN.webp,
Aerodactyl ex,Fighting,140,Pokémon,Stage,1     Old Amber,Land Crush attack points:80 attack energy:FC attack description: ,Yes,Lightning,1,PLANETA CG Works,,46,◊◊◊◊,Mew pack,Mythical Island (A1a),Mythical Island #46 ◊◊◊◊ Mythical Island #78 ☆☆ Mythical Island #84 ☆☆ Extradimensional Crisis #101 ☆☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_046_EN.webp,Primeval Law Your opponent can't play any Pokémon from their hand to evolve their Active Pokémon.
Marshadow,Fighting,80,Pokémon,Basic,,"Revenge attack points:40+ attack energy:FC attack description: If any of your Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 60 more damage.",No,Psychic,1,kantaro,"It slips into the shadows of others and mimics their powers and movements. As it improves, it becomes stronger than those it’s imitating.",47,◊◊◊,Mew pack,Mythical Island (A1a),Mythical Island #47 ◊◊◊ Mythical Island #74 ☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_047_EN.webp,
Stonjourner,Fighting,120,Pokémon,Basic,,Mega Kick attack points:90 attack energy:FFF attack description: ,No,Grass,3,Teeziro,The elemental composition of the rocks that form its body were found to match the bedrock of a land far away from this Pokémon’s habitat.,48,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #48 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_048_EN.webp,
Koffing,Darkness,70,Pokémon,Basic,,Division attack points: attack energy:D attack description: Put 1 random Koffing from your deck onto your Bench.,No,Fighting,2,Naoyo Kimura,"Its body is full of poisonous gas. It floats into garbage dumps, seeking out the fumes of raw, rotting trash.",49,◊,Mew pack,Mythical Island (A1a),Mythical Island #49 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_049_EN.webp,
Weezing,Darkness,110,Pokémon,Stage 1,Koffing,"Smokescreen attack points:50 attack energy:DD attack description: During your opponent's next turn, if the Defending Pokémon tries to use an attack, your opponent flips a coin. If tails, that attack doesn't happen.",No,Fighting,3,Mousho,"If one of the twin Koffing inflates, the other one deflates. It constantly mixes its poisonous gases.",50,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #50 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_050_EN.webp,
Purrloin,Darkness,60,Pokémon,Basic,,Scratch attack points:20 attack energy:D attack description: ,No,Grass,1,Kagemaru Himeno,It steals things from people just to amuse itself with their frustration. A rivalry exists between this Pokémon and Nickit.,51,◊,Mew pack,Mythical Island (A1a),Mythical Island #51 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_051_EN.webp,
Liepard,Darkness,90,Pokémon,Stage 1,Purrloin,Slash attack points:40 attack energy:D attack description: ,No,Grass,1,GIDORA,Don’t be fooled by its gorgeous fur and elegant figure. This is a moody and vicious Pokémon.,52,◊,Mew pack,Mythical Island (A1a),Mythical Island #52 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_052_EN.webp,
Venipede,Darkness,60,Pokémon,Basic,,Ram attack points:20 attack energy:D attack description: ,No,Fighting,1,Yukiko Baba,"Venipede and Sizzlipede are similar species, but when the two meet, a huge fight ensues.",53,◊,Mew pack,Mythical Island (A1a),Mythical Island #53 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_053_EN.webp,
Whirlipede,Darkness,90,Pokémon,Stage 1,Venipede,Poison Sting attack points:20 attack energy:D attack description: Your opponent's Active Pokémon is now Poisoned.,No,Fighting,2,Shin Nagasawa,This Pokémon spins itself rapidly and charges into its opponents. Its top speed is just over 60 mph.,54,◊,Mew pack,Mythical Island (A1a),Mythical Island #54 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_054_EN.webp,
Scolipede,Darkness,140,Pokémon,Stage 2,Whirlipede,"Venoshock attack points:70+ attack energy:DC attack description: If your opponent's Active Pokémon is Poisoned, this attack does 50 more damage.",No,Fighting,2,5ban Graphics,Scolipede latches on to its prey with the claws on its neck before slamming them into the ground and jabbing them with its claws’ toxic spikes.,55,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #55 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_055_EN.webp,
Druddigon,Dragon,100,Pokémon,Basic,,Dragon Claw attack points:90 attack energy:RWC attack description: ,No,none,2,Ryota Murayama,"Druddigon lives in caves, but it never skips sunbathing—it won’t be able to move if its body gets too cold.",56,◊◊,Mew pack,Mythical Island (A1a),Mythical Island #56 ◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_056_EN.webp,"Rough Skin If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon, do 20 damage to the Attacking Pokémon."
Pidgey,Colorless,50,Pokémon,Basic,,Flap attack points:20 attack energy:C attack description: ,No,Lightning,1,Shigenori Negishi,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.,57,◊,Mew pack,Mythical Island (A1a),Mythical Island #57 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_057_EN.webp,
Pidgeotto,Colorless,90,Pokémon,Stage 1,Pidgey,Wing Attack attack points:50 attack energy:CCC attack description: ,No,Lightning,1,Taiga Kayama,The claws on its feet are well developed. It can carry prey such as an Exeggcute to its nest over 60 miles away.,58,◊,Mew pack,Mythical Island (A1a),Mythical Island #58 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_058_EN.webp,
Pidgeot ex,Colorless,170,Pokémon,Stage 2,Pidgeotto,Scattering Cyclone attack points:80+ attack energy:CCC attack description: This attack does 20 more damage for each of your opponent's Benched Pokémon.,No,Lightning,1,PLANETA CG Works,,59,◊◊◊◊,Mew pack,Mythical Island (A1a),Mythical Island #59 ◊◊◊◊ Mythical Island #79 ☆☆ Extradimensional Crisis #102 ☆☆,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_059_EN.webp,
Tauros,Colorless,100,Pokémon,Basic,,"Fighting Tackle attack points:40+ attack energy:CCC attack description: If your opponent's Active Pokémon is a Pokémon ex, this attack does 80 more damage.",No,Fighting,2,KEIICHIRO ITO,"When Tauros begins whipping itself with its tails, it’s a warning that the Pokémon is about to charge with astounding speed.",60,◊◊◊,Mew pack,Mythical Island (A1a),Mythical Island #60 ◊◊◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_060_EN.webp,
Eevee,Colorless,60,Pokémon,Basic,,Continuous Steps attack points:20x attack energy:C attack description: Flip a coin until you get tails. This attack does 20 damage for each heads.,No,Fighting,1,Hitoshi Ariga,Its ability to evolve into many forms allows it to adapt smoothly and perfectly to any environment.,61,◊,Mew pack,Mythical Island (A1a),Mythical Island #61 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_061_EN.webp,
Chatot,Colorless,60,Pokémon,Basic,,Mimic attack points: attack energy:C attack description: Shuffle your hand into your deck. Draw a card for each card in your opponent's hand.,No,Lightning,1,Masako Tomii,It mimics the cries of other Pokémon to trick them into thinking it’s one of them. This way they won’t attack it.,62,◊,Mew pack,Mythical Island (A1a),Mythical Island #62 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_062_EN.webp,
Old Amber,Old Amber,40 HP,,,,No,,Toyste Beach,,63,◊,Mew pack,Mythical Island (A1a),Genetic Apex #218 ◊ Mythical Island #63 ◊,https://limitlesstcg.nyc3.cdn.digitaloceanspaces.com/pocket/A1a/A1a_063_EN.webp,
